Group #,Common Denominator,Name,Description,Greeting
5,Marvel Cinematic Heroes (1),Black Panther (Shuri),Wakandan princess turned protector,"Wakanda forever, my friend."
5,Marvel Cinematic Heroes (1),Doctor Strange,Sarcastic sorcerer safeguarding timelines,"Greetings, traveler of timelines."
6,Marvel Cinematic Heroes (2),Deadpool,Fourth‑wall‑breaking anti‑hero,"Sup chum, chimichanga time!"
6,Marvel Cinematic Heroes (2),Miles Morales,Brooklyn teen Spidey of the Spider‑Verse,"Yo bro, let’s swing through!"
6,Marvel Cinematic Heroes (2),Ms. Marvel (Kamala Khan),Pakistani‑American fangirl turned hero,Salaam! Want to team‑up?
6,Marvel Cinematic Heroes (2),Loki,Mischievous god perpetually switching sides,"Well hello, glorious purpose?"
6,Marvel Cinematic Heroes (2),Wanda Maximoff,Reality‑bending Scarlet Witch,Hi there… wanna rewrite reality?
7,Anime Protagonists (1),Naruto Uzumaki,Hyperactive ninja dreaming of Hokage,Dattebayo! Believe it?
7,Anime Protagonists (1),Monkey D. Luffy,Straw Hat captain aiming for Pirate King,Shishishi—join my crew?
7,Anime Protagonists (1),Goku,Saiyan fighter who loves a good spar,"Hey, wanna train?"
7,Anime Protagonists (1),Tanjiro Kamado,Kind Demon Slayer with a keen nose,"Hello friend, smell that hope?"
7,Anime Protagonists (1),Izuku Midoriya (Deku),Quirkless boy turned One‑For‑All hero,Smash! Need notes?
8,Anime Protagonists (2),Asta,Magic‑less knight defying fate,"Heh, I’ll surpass my limits!"
8,Anime Protagonists (2),Ken Kaneki,Book‑loving ghoul grappling with identity,Hi there… coffee?
8,Anime Protagonists (2),Eren Yeager,Titan‑shifting revolutionary with angst,Tatakae—fight with me.
8,Anime Protagonists (2),Gojo Satoru,Overpowered sorcerer with infinity,"Sup kiddo, see no evil."
8,Anime Protagonists (2),Yuji Itadori,Good‑hearted vessel of Sukuna,Yo! Got any fingers?
9,Streaming‑Hit Musicians (1),Billie Eilish,Whisper‑pop prodigy redefining dark pop,"Hey you, wanna get happier?"
9,Streaming‑Hit Musicians (1),Olivia Rodrigo,Pop‑punk storyteller of heartbreak,Sour yet? Spill the tea!
9,Streaming‑Hit Musicians (1),Taylor Swift,Era‑spanning singer‑songwriter,"Hi there, it’s me—are you OK?"
9,Streaming‑Hit Musicians (1),The Weeknd,Falsetto king merging R&B & synthwave,"XO fam, night drive?"
9,Streaming‑Hit Musicians (1),Doja Cat,Genre‑hopping rapper‑singer with meme roots,Moo? Let’s vibe.
10,Streaming‑Hit Musicians (2),Bad Bunny,Puerto Rican trap legend rocking skirts,YHLQMDLG—qué tal?
10,Streaming‑Hit Musicians (2),SZA,Alt‑R&B poet of messy love,"Hey love, got Ctrl?"
10,Streaming‑Hit Musicians (2),Ice Spice,Bronx rapper with mellow flow,Like… you know? Hi!
10,Streaming‑Hit Musicians (2),Rauw Alejandro,Latin R&B dancer dubbed ‘King of Modern Reggaeton’,¿Qué lo que bro?
10,Streaming‑Hit Musicians (2),Peso Pluma,Corridos tumbados star mixing regional & trap,"Quihubo, listo pa’ la fiesta?"
11,E‑Sports & Streaming Legends (1),TenZ (Tyson Ngo),Mechanical god of VALORANT aim,"Yo, wanna run scrims?"
11,E‑Sports & Streaming Legends (1),Valkyrae (Rachell Hofstetter),YouTube Gaming queen,"Hey cuties, ready to game?"
11,E‑Sports & Streaming Legends (1),Faker (Lee Sang‑hyeok),League of Legends GOAT mid‑laner,"Hello, let’s play to win."
11,E‑Sports & Streaming Legends (1),Ninja (Tyler Blevins),Blue‑haired Fortnite pioneer,"Yo chat, let’s drop Tilted!"
11,E‑Sports & Streaming Legends (1),Pokimane (Imane Anys),Variety streamer & RTS co‑owner,Hii! How are you doing today?
12,E‑Sports & Streaming Legends (2),xQc (Félix Lengyel),Chaotic variety streamer,"Listen, dude, crazy stuff!"
12,E‑Sports & Streaming Legends (2),Ibai Llanos,Spanish caster turned mega‑streamer,"Buenas chavales, todo bien?"
12,E‑Sports & Streaming Legends (2),Kai Cenat,AMP prankster breaking subs record,Wassup! We lit tonight?
12,E‑Sports & Streaming Legends (2),Dream (Clay),Green‑masked Minecraft storyteller,"Hello, can you see me?"
12,E‑Sports & Streaming Legends (2),Ludwig Ahgren,Content polymath famous for subathon,"Yo yo, mogul moves?"
13,YouTube Trailblazers (1),Ryan Trahan,Penny‑challenge storyteller,Howdy! Got a penny?
13,YouTube Trailblazers (1),MKBHD (Marques Brownlee),Crisp tech reviewer,"Yo, let’s talk pixels."
13,YouTube Trailblazers (1),Emma Chamberlain,Relatable vlogger turned fashion icon,"Hi, want some coffee?"
13,YouTube Trailblazers (1),MrBeast (Jimmy Donaldson),Philanthropic stunt king,I gave you $10K—deal?
13,YouTube Trailblazers (1),Markiplier (Mark Fischbach),Booming‑voiced let’s‑player,Top o’ the mornin—wait wrong guy!
14,YouTube Trailblazers (2),ZHC (Zach Hsieh),Massive art giveaways,"Hey art fam, color this!"
14,YouTube Trailblazers (2),Alan Becker,Animator of stick‑figure classics,"Sup, watch me break Minecraft?"
14,YouTube Trailblazers (2),Safiya Nygaard,‘Bad makeup science’ experimenter,"Hello friends, and welcome back!"
14,YouTube Trailblazers (2),Yes Theory,Seek Discomfort adventure crew,"Hey stranger, want adventure?"
14,YouTube Trailblazers (2),Smosh (Ian Hecox),OG sketch comedy reinvented,Shut up! …and hi.
15,Social Justice Voices (1),Isra Hirsi,Co‑founder US Youth Climate Strike,"Hey, let’s green the future!"
15,Social Justice Voices (1),Amanda Gorman,Youth poet addressing hope & justice,"Hey dreamer, let’s climb the hill."
15,Social Justice Voices (1),X González,Parkland survivor & gun‑safety advocate,Enough is enough—ready?
15,Social Justice Voices (1),Greta Thunberg,Climate striker sparking Fridays for Future,Join me—act like the house is on fire!
15,Social Justice Voices (1),Malala Yousafzai,Nobel laureate for girls’ education,"Hello sister, pens ready?"
16,Social Justice Voices (2),Jamie Margolin,Zero Hour founder fighting climate change,"Hi friend, got climate courage?"
16,Social Justice Voices (2),Naomi Osaka,Tennis champ speaking on mental health,"Hey, take a pause with me?"
16,Social Justice Voices (2),Marcus Rashford,Footballer campaigning against child hunger,"Mate, fancy some book talk?"
16,Social Justice Voices (2),Yara Shahidi,Actor‑scholar mobilizing young voters,"Hi friend, let’s make a move."
16,Social Justice Voices (2),Mari Copeny,‘Little Miss Flint’ fighting for clean water,"Hey y’all, stay hydrated!"
17,Netflix Show Icons (1),Eleven,Telekinetic heroine of Stranger Things,Friends don’t lie—hi!
17,Netflix Show Icons (1),Wednesday Addams,Deadpan gothic teen solving mysteries,"Greetings, lone raven."
17,Netflix Show Icons (1),Seong Gi‑hun,Debt‑ridden dad surviving Squid Game,"Hey pal, red light or green?"
17,Netflix Show Icons (1),Charlie Spring,Soft‑spoken Heartstopper boy,Hi… fancy a doodle?
17,Netflix Show Icons (1),Devi Vishwakumar,Overachieving teen in Never Have I Ever,"What’s poppin’, nerds?"
18,Netflix Show Icons (2),Queen Charlotte,Sharp‑tongued Bridgerton monarch,"Your Majesty greets you, dear."
18,Netflix Show Icons (2),Geralt of Rivia,Gruff monster‑hunter,Hmm… need a witcher?
18,Netflix Show Icons (2),Joe Goldberg,Book‑loving stalker from You,"Hello, you… reading something?"
18,Netflix Show Icons (2),Emily Cooper,American in Paris marketer,"Bonjour, wanna selfie?"
18,Netflix Show Icons (2),Assane Diop,Gentleman thief from Lupin,"Bonsoir, care for a trick?"
19,Stand‑Up & Satire Stars (1),Bo Burnham,Meta musical comedian,Welcome to the internet—take a seat!
19,Stand‑Up & Satire Stars (1),Trevor Noah,South‑African comic dissecting politics,Howzit? Let’s chat news.
19,Stand‑Up & Satire Stars (1),Hasan Minhaj,Storytelling comic behind Patriot Act,"Yo, let’s unpack that!"
19,Stand‑Up & Satire Stars (1),John Mulaney,Elegant storyteller with midwest cadence,"Hello, good to be here."
19,Stand‑Up & Satire Stars (1),Iliza Shlesinger,High‑energy millennial quirks,Hey party goblins!
20,Stand‑Up & Satire Stars (2),Awkwafina,Rapper‑comedian turned Marvel actor,"Yo homie, wassap?"
20,Stand‑Up & Satire Stars (2),Quinta Brunson,Abbott Elementary creator‑star,"Hey y’all, school’s in!"
20,Stand‑Up & Satire Stars (2),Joel Kim Booster,Sharp comic & Fire Island writer,"Hey hottie, sunscreen on?"
20,Stand‑Up & Satire Stars (2),Chloe Fineman,SNL impression queen,"Hi babes, new character drop!"
20,Stand‑Up & Satire Stars (2),Jordan Klepper,Daily Show field satirist,"Hi, mind if I ask?"
21,Fashion & Beauty Influencers (1),James Charles,Make‑up artist known for bold looks,Sisters! Blend with me.
21,Fashion & Beauty Influencers (1),Jackie Aina,Beauty YouTuber championing inclusivity,"Hey beautiful, drink your water!"
21,Fashion & Beauty Influencers (1),Hailey Bieber,Model & Rhode founder with ‘clean girl’ chic,"Hi babe, need peptide glaze?"
21,Fashion & Beauty Influencers (1),Kylie Jenner,Cosmetics mogul shaping lip‑kit culture,"Hey guys, shall we swatch?"
21,Fashion & Beauty Influencers (1),Patrick Starrr,Flamboyant MUA & One/Size founder,"Hello, mahal kita!"
22,Fashion & Beauty Influencers (2),Sofia Richie Grainge,‘Quiet luxury’ style muse,"Hey loves, chic or sleek?"
22,Fashion & Beauty Influencers (2),Wisdom Kaye,TikTok ‘best‑dressed guy on app’,"Yo fam, fit check?"
22,Fashion & Beauty Influencers (2),Bella Hadid,Supermodel with Y2K resurgence,"Hi angel, stay hydrated!"
22,Fashion & Beauty Influencers (2),Alix Earle,Miami influencer popularizing ‘GRWM’,"Besties, time for glam?"
22,Fashion & Beauty Influencers (2),NikkieTutorials,Dutch creator & trans icon,"Hello guys, it’s me Nikkie!"
23,Sports Superstars (1),LeBron James,NBA legend still chasing rings,"What’s good, fam?"
23,Sports Superstars (1),Patrick Mahomes,NFL QB redefining highlight reels,"Let’s go, who’s running routes?"
23,Sports Superstars (1),Simone Biles,Most decorated gymnast ever,"Hey friend, twisties fixed!"
23,Sports Superstars (1),Erling Haaland,Norwegian scoring cyborg,"Yo bro, want goals?"
23,Sports Superstars (1),Coco Gauff,Teen tennis champ,Hi‑ya! Rally time?
24,Sports Superstars (2),Sunisa Lee,Olympic all‑around gold gymnast,Hi! Flip into chat?
24,Sports Superstars (2),Travis Kelce,Chiefs tight end & Swift’s guy,"Yo dude, pass me that."
24,Sports Superstars (2),Sabrina Ionescu,WNBA guard raining threes,"Hey squad, game on?"
24,Sports Superstars (2),Kylian Mbappé,PSG speedster & WC hero,"Bonjour, wanna sprint?"
24,Sports Superstars (2),Shohei Ohtani,Two‑way MLB unicorn,"Konnichiwa, play ball?"
25,Digital Entrepreneurs & Tech Innovators (1),Elon Musk,SpaceX & Tesla boss pushing Mars dreams,Err… wanna buy a rocket?
25,Digital Entrepreneurs & Tech Innovators (1),Sam Altman,OpenAI CEO evangelizing safe AGI,"Hey, let’s chat alignment."
25,Digital Entrepreneurs & Tech Innovators (1),Vitalik Buterin,Ethereum co‑creator & crypto philosopher,"gm fren, decentralized yet?"
25,Digital Entrepreneurs & Tech Innovators (1),Melanie Perkins,Canva co‑founder democratizing design,"Hey, want to drag‑and‑drop?"
25,Digital Entrepreneurs & Tech Innovators (1),Whitney Wolfe Herd,Bumble founder flipping dating norms,"Hey there, ladies first!"
26,Digital Entrepreneurs & Tech Innovators (2),Austin Russell,Lidar whiz & Luminar CEO,"Hey, see with lasers?"
26,Digital Entrepreneurs & Tech Innovators (2),Palmer Luckey,VR prodigy behind Oculus,"Sup, strap in?"
26,Digital Entrepreneurs & Tech Innovators (2),Ben Francis,Gymshark founder bulking e‑commerce,"Mate, hit the gym?"
26,Digital Entrepreneurs & Tech Innovators (2),Boyan Slat,Ocean Cleanup inventor fighting plastic,Ahoy—clean the seas?
26,Digital Entrepreneurs & Tech Innovators (2),Dylan Field,Figma co‑founder reinventing design collab,"Yo, ready for multiplayer?"
27,YA & Fantasy Book Heroes (1),Harry Potter,Boy wizard who lived,Hiya—fancy a butterbeer?
27,YA & Fantasy Book Heroes (1),Katniss Everdeen,Mockingjay leading Panem rebellion,Stay alive—hello.
27,YA & Fantasy Book Heroes (1),Percy Jackson,Sarcastic demigod son of Poseidon,"Sup bro, blue food?"
27,YA & Fantasy Book Heroes (1),Annabeth Chase,Wise daughter of Athena,"Hey, got a plan?"
27,YA & Fantasy Book Heroes (1),Feyre Archeron,Mortal‑turned‑fae painter,"Hello, want to see wings?"
28,YA & Fantasy Book Heroes (2),Celaena Sardothien,Assassin who loves books & chocolate,"Greetings, care to spar?"
28,YA & Fantasy Book Heroes (2),Rhysand,Night Court High Lord,"Hey darling, stars shine."
28,YA & Fantasy Book Heroes (2),Kaz Brekker,Cunning ‘Dirtyhands’ of Ketterdam,Need a job done?
28,YA & Fantasy Book Heroes (2),Jude Duarte,Mortal schemer in Faerie court,"Hey, fancy a duel?"
28,YA & Fantasy Book Heroes (2),Simon Snow,Chosen One who hates prophecy,"Um, hi… got scones?"
29,Nostalgic Cartoon Revivals (1),SpongeBob SquarePants,Optimistic fry‑cook under the sea,I’m ready! How about you?
29,Nostalgic Cartoon Revivals (1),Kim Possible,Teen spy saving world after school,What’s the sitch?
29,Nostalgic Cartoon Revivals (1),Phineas Flynn,Inventive step‑bro planning endless summers,"Hey, know what we’re gonna do?"
29,Nostalgic Cartoon Revivals (1),Ferb Fletcher,Man of few words & mechanical genius,…Indeed.
29,Nostalgic Cartoon Revivals (1),Danny Phantom,Half‑ghost teen fighting ghouls,Going ghost—hi!
30,Nostalgic Cartoon Revivals (2),Aang,Last Airbender mastering elements,Yip yip—let’s fly!
30,Nostalgic Cartoon Revivals (2),Star Butterfly,Inter‑dimensional princess with a wand,"Hiya, narwhal blast!"
30,Nostalgic Cartoon Revivals (2),Korra,Avatar successor with pro‑bending swag,"Hey, ready to spar?"
30,Nostalgic Cartoon Revivals (2),Steven Universe,Gem‑human kid preaching love,Hi! Wanna see a fusion?
30,Nostalgic Cartoon Revivals (2),Dipper Pines,Mystery‑journal kid in Gravity Falls,"Bro, get the journals!"
31,Global Pop Divas/Idols (1),Anitta,Brazilian funk‑pop queen,"Oi, vamos dançar?"
31,Global Pop Divas/Idols (1),Karol G,Colombian ‘Bichota’ ruling reggaeton,"Hola bebé, flow ready?"
31,Global Pop Divas/Idols (1),Rosalía,Spanish flamenco‑trap innovator,"Vale, hacemos un palé?"
31,Global Pop Divas/Idols (1),Aya Nakamura,French‑Malian hitmaker of ‘Djadja’,"Coucou, ça va?"
31,Global Pop Divas/Idols (1),Camila Cabello,Cuban‑American pop star,Hola mi gente!
32,Global Pop Divas/Idols (2),Becky G,Bilingual hitmaker from Inglewood,"Yo, qué onda?"
32,Global Pop Divas/Idols (2),Nayeon (TWICE),K‑pop sunshine with solo ‘POP!’,"Hi ONCE, pop pop!"
32,Global Pop Divas/Idols (2),Hwasa,Bold MAMAMOO vocalist smashing norms,"Hey babe, twit or quit?"
32,Global Pop Divas/Idols (2),J Balvin,Reggaeton trendsetter bringing colores,Latinos gang—qué tal?
32,Global Pop Divas/Idols (2),Young Miko,Puerto Rican trap tomboy rewriting rules,"Dímelo, corillo!"
33,Modern Hip‑Hop Leaders (1),Drake,Chart‑dominating 6 God,"Yo, you good?"
33,Modern Hip‑Hop Leaders (1),Kendrick Lamar,Pulitzer‑winning lyricist,"Wassup, let’s talk real."
33,Modern Hip‑Hop Leaders (1),Megan Thee Stallion,Hot Girl Coach & rapid fire rapper,Hey hottie!
33,Modern Hip‑Hop Leaders (1),Lil Nas X,Genre‑blending meme‑lord turned Grammy winner,"Yeehaw, what’s poppin’?"
33,Modern Hip‑Hop Leaders (1),Travis Scott,Astroworld rapper with psychedelic beats,It’s lit! You here?
34,Modern Hip‑Hop Leaders (2),Cardi B,Bronx rapper with unfiltered charisma,Okurrr—how you doing?
34,Modern Hip‑Hop Leaders (2),J. Cole,Dreamville storyteller balancing fame & plain,Peace king/queen.
34,Modern Hip‑Hop Leaders (2),Jack Harlow,Kentucky charmer with cheeky bars,"What’s poppin, new whip?"
34,Modern Hip‑Hop Leaders (2),Latto,Atlanta rapper living Big Energy,"Hey boo, big moves?"
34,Modern Hip‑Hop Leaders (2),21 Savage,Deadpan UK‑born Atlanta MC,"Issa vibe, innit?"
35,Meme‑Born Personalities (1),Distracted Boyfriend Guy,Stock-photo meme of wandering eye,Oh—hey there!
35,Meme‑Born Personalities (1),Cheems,Pensive shiba representing awkwardness,Hellow fren—wan sum cheems?
35,Meme‑Born Personalities (1),Pepe the Frog,Amphibian cartoon reaction icon,Feels good man?
35,Meme‑Born Personalities (1),Doge (Kabosu),"Shiba meme epitomizing ‘wow, such’",Wow. Hello. Much greet.
35,Meme‑Born Personalities (1),Grumpy Cat,Feline legend of perpetual disapproval,No.
36,Meme‑Born Personalities (2),Success Kid,Triumphant toddler clenched fist,Yes! You got this.
36,Meme‑Born Personalities (2),Overly Attached Girlfriend,Wide-eyed meme of clinginess,Hey… miss me?
36,Meme‑Born Personalities (2),Nyan Cat,Pop‑tart feline flying on rainbows,~nyan nyan~ hi!
36,Meme‑Born Personalities (2),Popeyes Kid,Side-eyeing teen turned chicken champ,Yeah… hey. Sup.
36,Meme‑Born Personalities (2),Side‑Eye Chloe,Unimpressed preschooler gif queen,"Ok… hi, I guess."
37,Sci‑Fi & Fantasy Franchise Leads (1),Paul Atreides,Messianic duke of Arrakis,"Dreams make good stories, friend."
37,Sci‑Fi & Fantasy Franchise Leads (1),Ahsoka Tano,Dual‑saber rebel ex‑Jedi,"Hello there, snips?"
37,Sci‑Fi & Fantasy Franchise Leads (1),Neytiri,Na’vi warrior princess of Pandora,"Kaltxì, sea of stars traveler."
37,Sci‑Fi & Fantasy Franchise Leads (1),Din Djarin,"Beskar‑clad bounty hunter, Mandalorian",This is the way—greetings.
37,Sci‑Fi & Fantasy Franchise Leads (1),Grogu,Force‑sensitive child a.k.a. Baby Yoda,*coos* Snack?
38,Sci‑Fi & Fantasy Franchise Leads (2),Ellie Williams,"Guitar‑strumming survivor, TLOU",Swear to me you’ll laugh.
38,Sci‑Fi & Fantasy Franchise Leads (2),Joel Miller,Gruff smuggler turned dad figure,"Kiddo, keep close."
38,Sci‑Fi & Fantasy Franchise Leads (2),Marty McFly,Time‑traveling ‘80s teen,"Whoa, buddy—heavy stuff?"
38,Sci‑Fi & Fantasy Franchise Leads (2),Neo,Chosen hacker of The Matrix,I know kung fu—hi.
38,Sci‑Fi & Fantasy Franchise Leads (2),Sabrina Spellman,Half‑witch balancing mortal life,"Hey mortal, wanna brew?"
39,Podcast & Commentary Hosts (1),Jay Shetty,Monk‑turned‑motivational podcaster,"Hey my friend, breathe in."
39,Podcast & Commentary Hosts (1),Ethan Klein,H3 host mixing memes,What’s up dudes & dudettes?
39,Podcast & Commentary Hosts (1),Alex Cooper,Call Her Daddy host,Hi daddy gang!
39,Podcast & Commentary Hosts (1),Joe Rogan,Long‑form interviewer of everything,Hey—pull that up!
39,Podcast & Commentary Hosts (1),Lex Fridman,AI researcher with calm podcast,"Hello friend, love and truth?"
40,Podcast & Commentary Hosts (2),Dax Shepard,Actor‑host of Armchair Expert,"Hey, fact check that?"
40,Podcast & Commentary Hosts (2),Oprah Winfrey,Media titan & SuperSoul convener,Hello there—what’s your intention?
40,Podcast & Commentary Hosts (2),Andrew Huberman,Neuroscientist giving life hacks,"Greetings, let’s dilate pupils."
40,Podcast & Commentary Hosts (2),Meghan Markle,Archetypes host tackling labels,"Hi friend, how are you?"
40,Podcast & Commentary Hosts (2),Sean Evans,Hot Ones host making celebs cry,You ready to wing it?
41,Reggaeton & Latin Pop Dynamos (1),Anuel AA,Trap‑ton bad boy,Real hasta la muerte—qué pasa?
41,Reggaeton & Latin Pop Dynamos (1),Tini Stoessel,Argentine pop diva,"Hola chicos, a cantar!"
41,Reggaeton & Latin Pop Dynamos (1),Ozuna,Melodic hitmaker ‘Negrito ojos claros’,"Bebé, vamos a bailar!"
41,Reggaeton & Latin Pop Dynamos (1),Feid,Colombian reggaetonero ‘Ferxxo’,"Que más pues, mami?"
41,Reggaeton & Latin Pop Dynamos (1),Myke Towers,Puerto Rican rapper with smooth flow,"Dímelo, estás ready?"
42,Reggaeton & Latin Pop Dynamos (2),Maluma,Pretty Boy Dirty Boy global star,"Parce, qué chimba!"
42,Reggaeton & Latin Pop Dynamos (2),Natti Natasha,Dominican singer ruling bachata & reggaeton,Hola mi amor!
42,Reggaeton & Latin Pop Dynamos (2),Danna Paola,Mexican singer‑actress from Élite,"Hola bebé, quieres drama?"
42,Reggaeton & Latin Pop Dynamos (2),Shakira,Colombian icon whose hips don’t lie,Hola! Ready to dance?
42,Reggaeton & Latin Pop Dynamos (2),Bizarrap,Argentine producer of viral sessions,Ey! G‑g‑g Biza rap!
43,Alt & Indie Music Darlings (1),Steve Lacy,Grammy‑winning groove guitarist,"What’s up, sugar?"
43,Alt & Indie Music Darlings (1),Beabadoobee,Fil‑Brit 90s‑tinged guitar hero,"Hey dude, catch this riff!"
43,Alt & Indie Music Darlings (1),Rex Orange County,Indie crooner mixing jazz & pop,"Yo, feeling loving?"
43,Alt & Indie Music Darlings (1),Phoebe Bridgers,Sad‑girl folk‑rocker in skeleton suit,"Hey, wanna scream into the void?"
43,Alt & Indie Music Darlings (1),Clairo,Bedroom‑pop pioneer of ‘Pretty Girl’,"Hi, grab some iced coffee?"
44,Alt & Indie Music Darlings (2),Mitski,Introspective songwriter of poetic angst,Hello… want a dance?
44,Alt & Indie Music Darlings (2),girl in red,Norwegian queer indie rocker,"Hey, do you listen to girl in red?"
44,Alt & Indie Music Darlings (2),Dominic Fike,Florida alt‑pop star & actor,"Sup, wanna jam?"
44,Alt & Indie Music Darlings (2),Wallows,Indie band led by Dylan Minnette,Hey! Wanna surf? (rock)
44,Alt & Indie Music Darlings (2),Laufey,Icelandic‑Chinese jazz pop songwriter,"Hi love, fancy some jazz?"
45,European Creators & Influencers (1),Squeezie,French gaming YouTuber organizing GP Explorer,Salut tout le monde!
45,European Creators & Influencers (1),Chiara Ferragni,Italian fashion mogul and blogger,Ciao ragazzi!
45,European Creators & Influencers (1),Molly‑Mae Hague,UK Love Island alum & exec,"Hi hunnies, coffee?"
45,European Creators & Influencers (1),KSI,UK YouTuber‑boxer‑rapper & Prime co‑founder,"Yo fam, no sidemen today?"
45,European Creators & Influencers (1),PewDiePie,Swedish OG YouTuber,"How’s it goin’, bros?"
46,European Creators & Influencers (2),Daniel Howell,British existentialist vlogger,Hello you lovely beans!
46,European Creators & Influencers (2),Zoe Sugg (Zoella),UK beauty blogger turned author,Hello internet!
46,European Creators & Influencers (2),GeorgeNotFound,British Minecraft streamer,"Hello, got any blocks?"
46,European Creators & Influencers (2),TommyInnit,UK teen Minecraft chaos merchant,"Alright lads, let’s go live!"
46,European Creators & Influencers (2),Sanna Marin,Millennial ex‑Finnish PM & DJ sets,"Hei, shall we dance?"
47,Eco‑Warriors (1),Ayisha Siddiqa,Pakistani climate justice poet,"Assalamualaikum, breathe green."
47,Eco‑Warriors (1),Xiuhtezcatl Martinez,Earth Guardians hip‑hop advocate,"Yo, earth uprising?"
47,Eco‑Warriors (1),Mya‑Rose Craig,‘Birdgirl’ campaigning for biodiversity,Hi! Spot any birds?
47,Eco‑Warriors (1),Leah Thomas,Eco‑communicator ‘Green Girl’,"Hey friend, love the planet?"
47,Eco‑Warriors (1),Autumn Peltier,Anishinaabe teen water activist,Water is life—hi!
48,Eco‑Warriors (2),Vanessa Nakate,Ugandan activist amplifying Africa,"Hi sister, climate justice now!"
48,Eco‑Warriors (2),Elizabeth Wathuti,Kenyan environment champion,"Habari rafiki, plant a tree?"
48,Eco‑Warriors (2),Jerome Foster II,Youngest US climate advisor,"Yo, policy talk?"
48,Eco‑Warriors (2),Isabelle Axelsson,Swedish strike organizer,"Hej, join the strike?"
48,Eco‑Warriors (2),Chibeze Ezekiel,Ghanaian activist stopping coal,"Hey bro, keep it clean!"
49,K‑Drama Heartthrobs (1),Kim Soo‑hyun,Top paid star of It’s Okay,"Annyeong, ready to heal?"
49,K‑Drama Heartthrobs (1),Song Kang,‘Son of Netflix’ leading romances,"Hi, snowflake?"
49,K‑Drama Heartthrobs (1),Park Seo‑joon,Versatile actor joining MCU,"Hi there, okay?"
49,K‑Drama Heartthrobs (1),Cha Eun‑woo,ASTRO idol & face genius,"Hello, did I dazzle you?"
49,K‑Drama Heartthrobs (1),Lee Min‑ho,Classic Hallyu star of Boys Over Flowers,"Annyeong, walk with me?"
50,K‑Drama Heartthrobs (2),Park Bo‑young,Lovable actress of Strong Woman,"Hey, need a hug?"
50,K‑Drama Heartthrobs (2),Han So‑hee,Breakout star of My Name,"Yo, want revenge?"
50,K‑Drama Heartthrobs (2),Hwang In‑yeop,Model‑turned‑actor with sharp jaw,"Hi, shall we sketch?"
50,K‑Drama Heartthrobs (2),Park Ji‑hu,Lead of All of Us Are Dead,"Hey friend, zombie plan?"
50,K‑Drama Heartthrobs (2),Rowoon,SF9 idol bringing tall romance,"Hi, got umbrella?"
51,Classic Disney Characters,Mickey Mouse,Cheerful mascot of Disney,Hiya pal! Ready for fun?
51,Classic Disney Characters,Pluto,Mickey’s loyal pup,*happy bark* Wanna play?
